sample	well	conc	dilution_factor	group_mean
liv6_bb_noSon_1	A4	250.67718379502824	5	250.67718379502824
liv6_bb_noSon_2	A5	238.0142773675389	5	238.0142773675389
liv6_bb_noSon_3	A6	244.34484769183052	5	244.34484769183052
liv6_bb_son_1	A1	284.74374310863277	5	284.74374310863277
liv6_bb_son_2	A2	312.50999865201015	5	312.50999865201015
liv6_bb_son_3	A3	280.7798942034055	5	280.7798942034055
liv6_tpx150_1	A10	1493.364525670775	5	1493.364525670775
liv6_tpx150_2	A11	1550.129294065623	5	1550.129294065623
liv6_tpx150_3	A12	1589.4383291118766	5	1589.4383291118766
liv6_tpx_1	A7	1653.1308321848612	5	1653.1308321848612
liv6_tpx_2	A8	1574.376603984507	5	1574.376603984507
liv6_tpx_3	A9	1682.516500117306	5	1682.516500117306
liv7_bb_noSon_1	B4	2416.046280723201	5	2416.046280723201
liv7_bb_noSon_2	B5	2408.272940848309	5	2408.272940848309
liv7_bb_noSon_3	B6	2533.7821235898637	5	2533.7821235898637
liv7_bb_son_1	B1	2994.828553101389	5	2994.828553101389
liv7_bb_son_2	B2	2934.908117078772	5	2934.908117078772
liv7_bb_son_3	B3	2829.477389688727	5	2829.477389688727
liv7_tpx150_1	B10	3254.4742918864354	5	3254.4742918864354
liv7_tpx150_2	B11	3327.563853020931	5	3327.563853020931
liv7_tpx150_3	B12	3152.283168147115	5	3152.283168147115
liv7_tpx_1	B7	3145.187794834069	5	3145.187794834069
liv7_tpx_2	B8	3466.2277150382915	5	3466.2277150382915
liv7_tpx_3	B9	3719.302004108547	5	3719.302004108547
liv8_bb_noSon_1	C4	4198.884045288231	5	4198.884045288231
liv8_bb_noSon_2	C5	4060.4282026195374	5	4060.4282026195374
liv8_bb_noSon_3	C6	4118.118067275151	5	4118.118067275151
liv8_bb_son_1	C1	4888.383966836739	5	4888.383966836739
liv8_bb_son_2	C2	4744.031031319254	5	4744.031031319254
liv8_bb_son_3	C3	4712.249081282638	5	4712.249081282638
liv8_tpx150_1	C10	4396.183771898635	5	4396.183771898635
liv8_tpx150_2	C11	4658.1064244812715	5	4658.1064244812715
liv8_tpx150_3	C12	4588.231974870965	5	4588.231974870965
liv8_tpx_1	C7	4889.323461808773	5	4889.323461808773
liv8_tpx_2	C8	4740.290322956044	5	4740.290322956044
liv8_tpx_3	C9	5099.519935790453	5	5099.519935790453
